Date,Weekly_Sales
2012-11-02,2967504.5
2012-11-09,3013901.75
2012-11-16,3028536.0
2012-11-23,2780314.25
2012-11-30,2776796.75
2012-12-07,2873667.25
2012-12-14,2748540.25
2012-12-21,2672198.5
2012-12-28,2633975.5
2013-01-04,2777839.5
2013-01-11,2690800.0
2013-01-18,2684608.5
2013-01-25,2656045.5
2013-02-01,2728727.25
2013-02-08,2689315.0
2013-02-15,2698250.75
2013-02-22,2659181.25
2013-03-01,2726613.75
2013-03-08,2716760.0
2013-03-15,2709511.25
2013-03-22,2667729.5
2013-03-29,2616861.25
2013-04-05,2734873.0
2013-04-12,2718982.0
2013-04-19,2709324.25
2013-04-26,2637646.0
2013-05-03,2726308.0
2013-05-10,2721234.5
2013-05-17,2711987.25
2013-05-24,2663525.25
2013-05-31,2614417.5
2013-06-07,2732661.25
2013-06-14,2718228.5
2013-06-21,2692053.75
2013-06-28,2640795.0
2013-07-05,2723879.25
2013-07-12,2721375.75
2013-07-19,2712647.25
2013-07-26,2666094.0
